origin,destination,date,flight_name,airplane_name,from_time,to_time,stops,duration,cabin,price
MIL,CAI,2026-05-05,"easyJet, Aegean Airlines",,7:05 pm,"2:50 am
+1",1 stop,6h 45m,Light + Economy Cabin,296.0
MIL,CAI,2026-05-05,"easyJet, Air Cairo",,3:30 pm,11:40 pm,1 stop,7h 10m,Light + Economy Cabin,354.0
MIL,CAI,2026-05-05,Lufthansa,,7:20 pm,"3:05 am
+1",1 stop,6h 45m,Economy Light,946.0
MIL,CAI,2026-05-05,"Nouvelair, Tunisair",,6:50 pm,"3:05 am
+1",1 stop,7h 15m,Economy Cabin,325.0
MIL,CAI,2026-05-05,"easyJet, Air Cairo",,3:30 pm,"12:30 am
+1",1 stop,8h 00m,Light + Economy Cabin,328.0
MIL,CAI,2026-05-05,Turkish Airlines,,7:45 pm,"9:05 am
+1",1 stop,12h 20m,Promotion,250.0
MIL,CAI,2026-05-05,"Air Dolomiti, Lufthansa",,7:20 pm,"3:05 am
+1",1 stop,6h 45m,Economy + Economy Basic,1021.0
MIL,CAI,2026-05-05,Lufthansa,,1:40 pm,8:35 pm,1 stop,5h 55m,Economy Basic,1137.0
MIL,CAI,2026-05-05,Etihad Airways,,10:55 pm,"1:10 pm
+1",1 stop,13h 15m,Economy Basic,440.0
MIL,CAI,2026-05-05,Turkish Airlines,,7:45 pm,"6:10 am
+1",1 stop,9h 25m,Promotion,406.0
MIL,CAI,2026-05-05,Turkish Airlines,,10:40 am,11:45 pm,1 stop,12h 05m,Promotion,255.0
MIL,CAI,2026-05-05,Lufthansa,,6:50 pm,"3:05 am
+1",1 stop,7h 15m,Economy Light,943.0
MIL,CAI,2026-05-05,Lufthansa,,12:40 pm,8:30 pm,1 stop,6h 50m,Economy Basic,988.0
MIL,CAI,2026-05-05,ITA Airways,,1:00 pm,"2:15 am
+1",1 stop,12h 15m,Economy Saver,295.0
MIL,CAI,2026-05-05,Turkish Airlines,,2:55 pm,"4:20 am
+1",1 stop,12h 25m,Promotion,250.0
MIL,CAI,2026-05-05,Lufthansa,,6:10 pm,"3:05 am
+1",1 stop,7h 55m,Economy Light,947.0
MIL,CAI,2026-05-05,Royal Air Maroc,,6:05 pm,"8:30 am
+1",1 stop,13h 25m,Economy Cabin,458.0
MIL,CAI,2026-05-05,British Airways,,3:55 pm,"1:15 am
+1",1 stop,8h 20m,Standard Economy,953.0
MIL,CAI,2026-05-05,"easyJet, Aegean Airlines",,12:20 pm,"2:50 am
+1",1 stop,13h 30m,Light + Economy Cabin,292.0
MIL,CAI,2026-05-05,Ajet,,12:45 pm,11:30 pm,1 stop,9h 45m,Economy Cabin,354.0
MIL,CAI,2026-05-05,Turkish Airlines,,10:40 am,8:55 pm,1 stop,9h 15m,Semi-Flexible,632.0
MIL,CAI,2026-05-05,Tunisair,,11:30 am,"3:05 am
+1",1 stop,14h 35m,Economy Cabin,422.0
